Employee_ID,Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP0035,Designer,22,6,4,Medium,No,Unsatisfied,3,Weekly,Average
EMP0036,Sales,57,8,4,Low,Yes,Neutral,5,None,Poor
EMP0037,Sales,30,12,1,Low,Yes,Satisfied,3,None,Poor
EMP0038,Designer,47,14,2,Low,Yes,Satisfied,5,Daily,Good
EMP0039,Sales,48,12,4,Low,Yes,Neutral,1,Weekly,Average
EMP0040,Marketing,20,1,3,High,No,Unsatisfied,5,Weekly,Poor
EMP0041,Data Scientist,44,15,4,High,No,Neutral,5,Daily,Poor
EMP0042,Project Manager,29,13,2,Low,No,Unsatisfied,5,None,Good
EMP0043,Project Manager,58,6,3,High,Yes,Unsatisfied,3,Weekly,Poor
EMP0044,Designer,53,12,4,Medium,Yes,Unsatisfied,3,None,Average
EMP0045,HR,23,6,3,High,Yes,Neutral,2,Daily,Good
EMP0046,Marketing,42,8,2,Medium,No,Neutral,3,Daily,Poor
EMP0047,Data Scientist,35,15,1,Medium,Yes,Unsatisfied,5,Weekly,Good
EMP0048,Sales,39,2,5,High,No,Unsatisfied,4,None,Good
EMP0049,HR,29,9,4,Low,No,Neutral,3,Daily,Poor
EMP0050,Project Manager,37,3,4,Medium,No,Satisfied,3,None,Average
EMP0051,HR,28,10,4,High,Yes,Satisfied,4,Daily,Good
EMP0052,Sales,31,9,5,Low,No,Satisfied,1,None,Good
EMP0053,Software Engineer,26,14,3,Medium,No,Satisfied,2,Daily,Good
EMP0054,Project Manager,46,15,2,Medium,Yes,Neutral,1,None,Average
EMP0055,Software Engineer,55,6,1,Medium,Yes,Satisfied,1,Daily,Poor
EMP0056,Project Manager,47,12,3,Low,No,Neutral,5,Daily,Good
EMP0057,Software Engineer,48,13,5,Low,Yes,Neutral,5,None,Good
EMP0058,HR,49,6,5,Low,No,Satisfied,3,None,Average
EMP0059,Designer,51,4,1,Low,No,Unsatisfied,3,Daily,Average
EMP0060,Data Scientist,57,13,2,Medium,Yes,Satisfied,5,Daily,Poor
EMP0061,Sales,33,14,4,Medium,Yes,Unsatisfied,2,Daily,Good
EMP0062,Sales,30,15,2,Medium,Yes,Unsatisfied,5,Daily,Good
EMP0063,Project Manager,28,4,3,Medium,No,Satisfied,2,None,Poor
EMP0064,Software Engineer,31,15,3,Medium,Yes,Satisfied,5,None,Good
EMP0065,Data Scientist,37,0,4,Medium,No,Unsatisfied,2,None,Good
EMP0066,HR,31,3,4,Medium,Yes,Satisfied,4,Weekly,Poor
EMP0067,Software Engineer,46,3,1,Medium,No,Satisfied,2,Daily,Good
EMP0068,Marketing,20,6,2,High,Yes,Unsatisfied,4,Weekly,Poor
EMP0069,Designer,51,8,2,High,Yes,Neutral,1,Daily,Average
EMP0070,Marketing,28,13,2,Low,No,Neutral,1,Daily,Good
EMP0071,Marketing,39,4,4,Medium,No,Satisfied,1,Weekly,Average
EMP0072,Designer,29,13,1,Medium,Yes,Neutral,2,Weekly,Average
EMP0073,Designer,30,14,5,High,Yes,Unsatisfied,1,Weekly,Good
EMP0074,Software Engineer,53,7,3,High,Yes,Neutral,1,None,Poor
EMP0075,Project Manager,57,10,2,Medium,No,Neutral,3,Weekly,Poor
EMP0076,Marketing,49,3,5,High,Yes,Satisfied,3,None,Good
EMP0077,HR,55,8,4,High,No,Unsatisfied,2,Weekly,Good
EMP0078,Marketing,37,10,5,Medium,Yes,Satisfied,1,Daily,Average
EMP0079,Data Scientist,51,5,2,High,Yes,Neutral,1,Daily,Average
EMP0080,Project Manager,21,7,5,Low,No,Unsatisfied,3,Weekly,Average
EMP0081,Data Scientist,21,10,3,High,No,Satisfied,4,None,Poor
EMP0082,Software Engineer,44,9,4,High,Yes,Neutral,2,Daily,Poor
EMP0083,HR,26,10,3,High,Yes,Unsatisfied,2,Weekly,Good
EMP0084,Project Manager,43,6,4,High,Yes,Unsatisfied,3,None,Poor
EMP0085,Designer,42,14,4,Low,Yes,Unsatisfied,5,None,Good
EMP0086,Designer,44,8,4,Low,No,Unsatisfied,4,Daily,Poor
EMP0087,Project Manager,27,0,1,Low,No,Satisfied,1,Weekly,Poor
EMP0088,Data Scientist,43,5,1,Medium,Yes,Unsatisfied,2,Weekly,Poor
EMP0089,Designer,38,0,5,High,Yes,Neutral,2,None,Poor
EMP0090,Marketing,38,4,4,Low,Yes,Unsatisfied,4,Daily,Poor
EMP0091,Data Scientist,57,4,4,Medium,No,Unsatisfied,2,Weekly,Average
EMP0092,Software Engineer,60,3,1,High,No,Satisfied,5,Weekly,Good
EMP0093,Data Scientist,29,0,5,Medium,No,Satisfied,5,None,Poor
EMP0094,Data Scientist,54,12,4,High,Yes,Satisfied,4,None,Average
EMP0095,Project Manager,31,11,5,High,No,Neutral,4,Weekly,Average
EMP0096,Project Manager,54,8,5,Low,No,Satisfied,3,None,Good
EMP0097,Data Scientist,33,11,1,High,No,Neutral,5,Weekly,Poor
EMP0098,Designer,25,1,4,Low,No,Neutral,3,Weekly,Average
EMP0099,Data Scientist,21,15,1,Low,No,Satisfied,5,Daily,Good
EMP0100,Project Manager,45,10,2,Medium,No,Satisfied,4,Daily,Good
EMP0101,Designer,53,5,1,Medium,No,Satisfied,1,None,Poor
EMP0102,Sales,46,12,1,High,No,Neutral,2,Daily,Poor
EMP0103,Sales,22,9,4,High,No,Satisfied,4,None,Good
EMP0104,Software Engineer,60,12,4,High,Yes,Satisfied,5,None,Good
EMP0105,Designer,42,2,4,Low,Yes,Satisfied,3,Weekly,Average
EMP0106,Data Scientist,60,2,3,High,Yes,Neutral,3,Daily,Good
EMP0107,HR,35,14,1,Medium,Yes,Neutral,2,Daily,Good
EMP0108,Software Engineer,44,2,2,High,No,Satisfied,5,Weekly,Poor
EMP0109,Software Engineer,50,2,4,Medium,No,Satisfied,2,Weekly,Poor
EMP0110,Data Scientist,22,7,5,Low,No,Neutral,5,Daily,Good
EMP0111,Data Scientist,29,13,3,High,Yes,Unsatisfied,5,Weekly,Average
EMP0112,HR,34,8,5,Low,No,Unsatisfied,1,Weekly,Good
EMP0113,Marketing,30,7,1,Low,Yes,Satisfied,5,None,Poor
EMP0114,Data Scientist,53,0,3,Low,Yes,Neutral,5,Daily,Poor
EMP0115,Designer,29,5,2,High,No,Neutral,3,None,Poor
EMP0116,Marketing,27,1,3,Medium,Yes,Unsatisfied,3,Weekly,Good
EMP0117,Project Manager,44,14,3,Medium,No,Satisfied,3,Daily,Good
EMP0118,Data Scientist,42,13,2,High,No,Satisfied,3,Daily,Good
EMP0119,Data Scientist,22,4,2,Medium,Yes,Satisfied,3,Daily,Average
EMP0120,Project Manager,34,13,2,Medium,Yes,Unsatisfied,5,Daily,Average
EMP0121,Project Manager,51,13,2,High,No,Neutral,5,Daily,Average
EMP0122,Marketing,48,6,5,High,Yes,Unsatisfied,3,None,Good
EMP0123,Software Engineer,30,10,2,High,Yes,Unsatisfied,1,None,Good
EMP0124,Sales,59,7,2,Low,Yes,Satisfied,5,Weekly,Average
EMP0125,HR,26,14,2,High,Yes,Unsatisfied,4,Daily,Average
EMP0126,Data Scientist,60,1,3,Low,No,Unsatisfied,4,None,Average
EMP0127,Marketing,38,2,2,Medium,Yes,Unsatisfied,1,Daily,Good
EMP0128,Project Manager,34,0,5,High,Yes,Unsatisfied,2,None,Average
EMP0129,Designer,46,12,4,Medium,No,Unsatisfied,2,Daily,Poor
EMP0130,Sales,35,2,3,Low,Yes,Unsatisfied,3,None,Average
EMP0131,Designer,23,9,1,Medium,No,Neutral,5,Weekly,Good
EMP0132,Marketing,28,15,5,Low,Yes,Unsatisfied,4,Weekly,Average
EMP0133,Marketing,57,10,3,Medium,No,Neutral,2,Weekly,Good
EMP0134,Marketing,29,4,1,Low,Yes,Satisfied,2,Weekly,Good
EMP0135,Marketing,39,1,4,Medium,No,Unsatisfied,2,Weekly,Poor
EMP0136,Marketing,46,4,5,Medium,No,Unsatisfied,5,None,Good
EMP0137,Data Scientist,26,9,2,High,No,Neutral,5,Daily,Good
EMP0138,Sales,32,4,4,Medium,Yes,Satisfied,5,Weekly,Poor
EMP0139,Data Scientist,30,11,3,High,No,Unsatisfied,5,None,Poor
EMP0140,Project Manager,48,3,5,Low,Yes,Satisfied,1,Weekly,Average
EMP0141,Project Manager,44,13,1,High,Yes,Satisfied,5,Weekly,Poor
EMP0142,Project Manager,49,15,5,Low,Yes,Neutral,4,None,Poor
EMP0143,Designer,23,0,5,High,No,Unsatisfied,1,Weekly,Poor
EMP0144,Designer,33,6,5,Low,No,Satisfied,2,Daily,Good
EMP0145,HR,35,15,5,High,No,Unsatisfied,2,Daily,Average
EMP0146,Marketing,41,8,3,Medium,Yes,Satisfied,4,Weekly,Poor
EMP0147,Software Engineer,34,12,2,Low,No,Neutral,3,Daily,Average
EMP0148,Designer,44,10,1,Low,Yes,Unsatisfied,5,Daily,Average
EMP0149,Designer,52,8,4,High,Yes,Satisfied,4,Daily,Good
EMP0150,Designer,57,11,2,Low,Yes,Unsatisfied,3,Weekly,Good
EMP0151,Software Engineer,32,15,3,High,Yes,Unsatisfied,3,Weekly,Average
EMP0152,Designer,31,6,4,Low,No,Satisfied,4,Daily,Poor
EMP0153,Software Engineer,58,15,1,Medium,No,Unsatisfied,2,Weekly,Poor
EMP0154,Data Scientist,26,9,1,Medium,Yes,Unsatisfied,2,None,Poor
EMP0155,Software Engineer,57,5,1,Low,Yes,Unsatisfied,4,Weekly,Average
EMP0156,Project Manager,20,8,1,Low,No,Neutral,1,None,Good
EMP0157,Project Manager,26,0,4,High,No,Satisfied,2,Weekly,Average
EMP0158,Data Scientist,43,15,3,High,No,Neutral,3,Weekly,Good
EMP0159,Designer,50,14,3,Low,Yes,Unsatisfied,3,Daily,Average
EMP0160,Software Engineer,52,0,5,High,No,Satisfied,3,Weekly,Good
EMP0161,Marketing,37,1,4,Medium,No,Satisfied,1,None,Average
EMP0162,Data Scientist,38,0,3,High,Yes,Neutral,1,None,Average
EMP0163,Designer,55,11,1,High,No,Unsatisfied,2,Weekly,Poor
EMP0164,Data Scientist,53,14,1,Medium,No,Neutral,1,Weekly,Average
EMP0165,Software Engineer,20,13,1,Medium,No,Neutral,1,None,Good
EMP0166,Software Engineer,46,1,2,Low,Yes,Neutral,5,Daily,Poor
EMP0167,Software Engineer,30,8,2,Low,Yes,Satisfied,2,None,Average
EMP0168,Software Engineer,50,8,2,High,No,Satisfied,3,Daily,Poor
EMP0169,HR,50,13,2,Medium,Yes,Satisfied,2,Daily,Average
EMP0170,Project Manager,50,0,1,Low,Yes,Satisfied,3,Daily,Poor
EMP0171,Designer,23,7,1,Low,No,Neutral,3,None,Poor
EMP0172,Data Scientist,45,3,4,Medium,No,Unsatisfied,4,None,Good
EMP0173,Software Engineer,25,4,1,Medium,No,Satisfied,3,Weekly,Good
EMP0174,Designer,36,9,2,High,Yes,Neutral,4,Weekly,Good
EMP0175,HR,60,3,2,Low,Yes,Unsatisfied,5,Daily,Good
EMP0176,Project Manager,35,7,3,Low,Yes,Satisfied,4,Daily,Average
EMP0177,Marketing,55,12,3,Medium,No,Satisfied,4,None,Good
EMP0178,Project Manager,47,10,1,Medium,No,Neutral,2,Weekly,Good
EMP0179,HR,57,10,4,High,No,Satisfied,4,None,Good
EMP0180,HR,22,9,2,Medium,Yes,Unsatisfied,1,None,Good
EMP0181,Data Scientist,43,5,1,Medium,Yes,Neutral,2,Daily,Poor
EMP0182,Marketing,45,9,5,Low,Yes,Unsatisfied,4,Weekly,Good
EMP0183,Designer,56,14,2,Low,Yes,Satisfied,1,Weekly,Average
EMP0184,Data Scientist,46,14,3,High,No,Neutral,2,Daily,Good
EMP0185,HR,60,0,5,Medium,No,Neutral,2,Daily,Good
EMP0186,Designer,32,9,1,Medium,No,Unsatisfied,1,None,Average
EMP0187,HR,59,13,5,Medium,Yes,Unsatisfied,4,Weekly,Average
EMP0188,Software Engineer,60,13,5,High,No,Neutral,5,Daily,Good
EMP0189,Data Scientist,43,4,5,High,No,Unsatisfied,3,Weekly,Average
EMP0190,Data Scientist,33,8,1,Low,Yes,Satisfied,2,None,Poor
EMP0191,Data Scientist,20,14,3,Low,No,Satisfied,2,Daily,Average
EMP0192,Software Engineer,27,2,1,Medium,Yes,Unsatisfied,3,Weekly,Poor
EMP0193,Software Engineer,43,1,5,Medium,No,Unsatisfied,2,Weekly,Average
EMP0194,Sales,23,12,2,Medium,No,Neutral,1,Daily,Average
EMP0195,Data Scientist,29,0,1,Medium,No,Neutral,4,None,Good
EMP0196,Sales,47,0,2,Medium,No,Neutral,4,None,Poor
EMP0197,Designer,46,12,1,Low,Yes,Neutral,5,None,Good
EMP0198,Marketing,40,2,1,Low,Yes,Neutral,4,Weekly,Average
EMP0199,Project Manager,47,0,4,High,Yes,Unsatisfied,3,Daily,Poor
EMP0200,Data Scientist,53,7,3,High,No,Unsatisfied,2,Daily,Average
EMP0201,Sales,55,14,4,Medium,No,Neutral,1,Daily,Average
EMP0202,Sales,40,1,2,Medium,No,Neutral,3,Weekly,Good
EMP0203,Project Manager,28,8,5,Low,No,Satisfied,1,None,Poor
EMP0204,Sales,39,14,3,Low,No,Neutral,1,Weekly,Good
EMP0205,Software Engineer,41,5,5,Medium,No,Unsatisfied,2,None,Good
EMP0206,Data Scientist,21,3,5,Low,Yes,Satisfied,5,Daily,Poor
EMP0207,Project Manager,34,11,3,Low,Yes,Unsatisfied,5,Daily,Good
EMP0208,Designer,36,14,3,Low,No,Unsatisfied,2,Weekly,Good
EMP0209,Marketing,32,2,4,High,Yes,Satisfied,4,Weekly,Average
EMP0210,Sales,21,8,2,Medium,No,Unsatisfied,5,None,Average
EMP0211,Project Manager,56,3,5,High,Yes,Satisfied,4,Daily,Poor
EMP0212,Marketing,58,8,4,Low,No,Satisfied,4,None,Poor
EMP0213,Software Engineer,35,8,1,High,No,Satisfied,4,None,Good
EMP0214,Project Manager,52,3,1,Low,Yes,Satisfied,5,Weekly,Good
EMP0215,Marketing,33,8,1,Low,No,Neutral,4,Daily,Average
EMP0216,Software Engineer,47,9,2,Medium,No,Neutral,4,None,Good
EMP0217,HR,56,13,3,Medium,No,Satisfied,4,None,Poor
EMP0218,Data Scientist,33,4,2,Low,Yes,Neutral,2,Daily,Average
EMP0219,HR,60,9,3,Low,No,Satisfied,4,Weekly,Average
EMP0220,Sales,32,5,4,Low,No,Unsatisfied,1,Weekly,Good
EMP0221,Project Manager,48,9,5,Medium,No,Satisfied,5,None,Good
EMP0222,HR,39,6,4,High,No,Neutral,5,None,Average
EMP0223,Software Engineer,23,6,3,High,Yes,Unsatisfied,2,Weekly,Good
EMP0224,Marketing,38,3,3,High,Yes,Satisfied,1,None,Average
EMP0225,Designer,30,5,1,Low,No,Unsatisfied,2,Daily,Average
EMP0226,Software Engineer,35,3,1,Low,Yes,Neutral,1,Weekly,Good
EMP0227,Data Scientist,22,0,5,Medium,Yes,Satisfied,4,Weekly,Average
EMP0228,Project Manager,28,15,2,Medium,Yes,Satisfied,3,Weekly,Poor
EMP0229,Marketing,57,4,3,Medium,No,Neutral,5,Weekly,Good
EMP0230,HR,48,14,2,Low,Yes,Satisfied,1,Weekly,Good
EMP0231,Marketing,45,14,1,Medium,No,Unsatisfied,4,Daily,Average
EMP0232,Marketing,34,3,4,Low,No,Satisfied,2,Weekly,Poor
EMP0233,Marketing,59,9,5,Low,No,Unsatisfied,2,Weekly,Poor
EMP0234,Software Engineer,31,6,3,High,Yes,Neutral,2,Weekly,Average
EMP0235,Marketing,55,12,4,Low,No,Neutral,5,Daily,Poor
EMP0236,Data Scientist,23,11,2,Low,No,Unsatisfied,4,None,Average
EMP0237,HR,51,7,1,Medium,No,Neutral,1,Weekly,Average
EMP0238,Software Engineer,32,11,5,Medium,Yes,Satisfied,4,Daily,Average
EMP0239,Marketing,41,14,5,Low,Yes,Neutral,1,Weekly,Good
EMP0240,Software Engineer,46,10,1,Low,No,Neutral,1,Daily,Poor
EMP0241,HR,58,15,4,High,No,Neutral,2,Weekly,Poor
EMP0242,Sales,59,13,2,High,Yes,Satisfied,3,Weekly,Poor
EMP0243,Project Manager,40,1,1,Medium,No,Neutral,4,Weekly,Good
EMP0244,Sales,56,3,2,High,No,Neutral,1,Weekly,Poor
EMP0245,Software Engineer,47,11,2,High,Yes,Neutral,3,Weekly,Poor
EMP0246,Project Manager,38,2,2,Low,Yes,Satisfied,3,None,Good
EMP0247,Data Scientist,59,12,5,Low,No,Neutral,1,Weekly,Average
EMP0248,Project Manager,47,4,1,Medium,Yes,Unsatisfied,4,None,Poor
EMP0249,HR,49,6,3,Medium,No,Neutral,5,None,Average
EMP0250,Project Manager,20,6,5,Low,Yes,Satisfied,2,Weekly,Poor
EMP0251,Project Manager,50,9,1,High,Yes,Satisfied,2,Weekly,Good
EMP0252,Project Manager,32,0,4,High,Yes,Unsatisfied,1,Weekly,Good
EMP0253,Sales,23,8,3,Low,Yes,Neutral,3,Daily,Average
EMP0254,HR,22,13,3,Medium,No,Unsatisfied,3,Weekly,Average
EMP0255,Data Scientist,33,11,5,Medium,Yes,Neutral,2,Daily,Good
EMP0256,Project Manager,32,13,3,Medium,Yes,Unsatisfied,5,Weekly,Average
EMP0257,Marketing,51,0,1,Medium,No,Unsatisfied,2,Daily,Average
EMP0258,Designer,49,11,3,Medium,No,Satisfied,3,None,Poor
EMP0259,Data Scientist,30,9,1,Medium,No,Satisfied,3,Daily,Average
EMP0260,Software Engineer,25,9,2,Medium,Yes,Neutral,5,Weekly,Average
EMP0261,Software Engineer,40,12,4,High,No,Neutral,3,Weekly,Poor
EMP0262,Project Manager,32,13,1,Low,No,Neutral,1,None,Good
EMP0263,Sales,20,15,3,Medium,No,Neutral,2,None,Average
EMP0264,Project Manager,35,5,5,Medium,No,Neutral,5,Daily,Poor
EMP0265,Sales,49,2,1,Medium,No,Satisfied,5,None,Average
EMP0266,Sales,34,5,4,Medium,Yes,Satisfied,4,Weekly,Good
EMP0267,Project Manager,58,13,3,Medium,No,Satisfied,5,None,Average
EMP0268,HR,26,4,4,Medium,No,Unsatisfied,3,None,Average
EMP0269,Marketing,36,7,4,Medium,No,Unsatisfied,3,None,Poor
EMP0270,Designer,48,3,4,High,Yes,Neutral,4,Daily,Average
EMP0271,HR,57,5,4,High,Yes,Satisfied,5,Weekly,Good
EMP0272,HR,32,8,2,Medium,Yes,Satisfied,2,Daily,Poor
EMP0273,Marketing,55,7,4,Medium,Yes,Unsatisfied,4,None,Poor
EMP0274,Designer,28,3,3,High,No,Neutral,2,None,Good
EMP0275,Sales,53,10,2,Low,No,Satisfied,3,Weekly,Poor
EMP0276,Designer,36,10,4,Low,Yes,Satisfied,4,Daily,Good
EMP0277,Sales,54,7,4,High,No,Satisfied,1,None,Average
EMP0278,Marketing,33,8,3,Low,No,Neutral,5,None,Poor
EMP0279,Designer,39,1,4,Medium,Yes,Unsatisfied,4,Daily,Poor
EMP0280,Software Engineer,33,11,1,Medium,No,Satisfied,5,None,Good
EMP0281,Software Engineer,48,4,1,Low,Yes,Unsatisfied,1,Weekly,Average
EMP0282,Designer,60,7,5,Medium,No,Satisfied,3,Daily,Average
EMP0283,Data Scientist,24,1,1,Medium,No,Neutral,4,None,Good
EMP0284,Data Scientist,28,7,5,High,Yes,Unsatisfied,3,None,Average
EMP0285,Project Manager,20,14,2,Low,No,Neutral,2,Daily,Poor
EMP0286,Project Manager,28,14,4,Medium,Yes,Unsatisfied,1,Weekly,Good
EMP0287,HR,48,12,4,Medium,No,Unsatisfied,2,None,Good
EMP0288,Sales,51,5,2,High,Yes,Neutral,1,None,Good
EMP0289,Designer,39,5,4,Low,No,Neutral,2,Weekly,Poor
EMP0290,Marketing,25,2,4,Medium,No,Neutral,2,None,Poor
EMP0291,Sales,53,12,1,High,No,Satisfied,3,Weekly,Average
EMP0292,HR,44,13,4,High,Yes,Neutral,1,None,Average
EMP0293,Sales,31,3,3,Medium,Yes,Neutral,3,Weekly,Poor
EMP0294,Designer,58,2,5,Low,Yes,Satisfied,3,Weekly,Average
EMP0295,Marketing,26,5,4,Low,No,Unsatisfied,4,Weekly,Average
EMP0296,Data Scientist,20,4,3,Low,Yes,Satisfied,3,None,Good
EMP0297,Marketing,28,14,3,Low,No,Satisfied,2,None,Poor
EMP0298,Sales,35,14,5,Medium,No,Neutral,5,None,Average
EMP0299,Marketing,30,14,2,Low,No,Neutral,2,None,Good
EMP0300,Data Scientist,28,0,1,Low,No,Satisfied,2,None,Poor
EMP0301,Designer,21,4,3,Medium,Yes,Neutral,3,Daily,Average
EMP0302,HR,56,13,2,Medium,Yes,Unsatisfied,5,Daily,Poor
EMP0303,Software Engineer,25,10,3,High,No,Satisfied,2,None,Good
EMP0304,Software Engineer,21,0,1,High,Yes,Neutral,2,Weekly,Average
EMP0305,Project Manager,50,2,4,Medium,Yes,Satisfied,5,Daily,Average
EMP0306,Data Scientist,50,3,5,High,Yes,Unsatisfied,5,Weekly,Good
EMP0307,Marketing,27,10,2,Low,Yes,Unsatisfied,5,None,Average
EMP0308,Software Engineer,31,14,4,Medium,Yes,Satisfied,2,Weekly,Average
EMP0309,Designer,45,11,3,Low,Yes,Satisfied,4,Daily,Good
EMP0310,Sales,23,8,2,Medium,Yes,Satisfied,2,Daily,Poor
EMP0311,Designer,42,14,3,Low,Yes,Neutral,1,Weekly,Good
EMP0312,Data Scientist,37,8,1,Medium,No,Neutral,4,Weekly,Good
EMP0313,Sales,40,7,5,Low,Yes,Neutral,1,Daily,Good
EMP0314,HR,23,1,3,High,Yes,Satisfied,5,Weekly,Good
EMP0315,Marketing,20,3,3,Medium,Yes,Satisfied,4,None,Poor
EMP0316,Designer,51,8,5,Medium,No,Neutral,5,Weekly,Poor
EMP0317,Marketing,46,1,2,Low,Yes,Neutral,1,Daily,Good
EMP0318,HR,37,7,2,Medium,Yes,Unsatisfied,2,Weekly,Poor
EMP0319,Project Manager,42,4,2,Low,No,Satisfied,5,None,Average
EMP0320,HR,53,15,4,Low,Yes,Neutral,2,Weekly,Good
EMP0321,Marketing,26,0,2,Low,Yes,Neutral,3,Daily,Poor
EMP0322,Marketing,48,9,3,Medium,No,Unsatisfied,5,None,Good
EMP0323,Marketing,58,0,3,Low,Yes,Neutral,5,None,Poor
EMP0324,HR,52,7,1,Medium,Yes,Unsatisfied,2,Daily,Poor
EMP0325,Marketing,52,13,4,High,No,Unsatisfied,1,None,Good
EMP0326,Designer,49,7,2,Low,Yes,Satisfied,3,Daily,Poor
EMP0327,Marketing,55,4,2,High,No,Satisfied,4,Weekly,Poor
EMP0328,Designer,33,0,2,High,Yes,Satisfied,3,Weekly,Average
EMP0329,HR,24,12,1,High,Yes,Neutral,4,Daily,Poor
EMP0330,Sales,21,15,5,Low,Yes,Unsatisfied,5,None,Average
EMP0331,Software Engineer,55,12,5,Low,No,Satisfied,3,None,Good
EMP0332,Sales,44,10,5,Medium,Yes,Satisfied,5,Daily,Average
EMP0333,Software Engineer,24,7,4,Medium,Yes,Neutral,4,None,Good
EMP0334,Marketing,25,6,2,High,No,Unsatisfied,4,Daily,Poor
EMP0335,Designer,40,0,4,High,Yes,Satisfied,3,Daily,Good
EMP0336,Sales,59,3,2,Low,Yes,Satisfied,1,Weekly,Poor
EMP0337,Software Engineer,22,9,4,High,Yes,Unsatisfied,2,Daily,Poor
EMP0338,Designer,47,15,5,Medium,No,Neutral,2,Daily,Poor
EMP0339,Sales,31,15,2,Low,No,Unsatisfied,1,None,Good
EMP0340,Designer,41,5,5,High,No,Neutral,5,Weekly,Poor
EMP0341,Data Scientist,52,0,1,High,Yes,Unsatisfied,2,None,Good
EMP0342,HR,48,0,2,Low,Yes,Satisfied,4,None,Good
EMP0343,Project Manager,41,14,5,Medium,Yes,Unsatisfied,3,None,Poor
EMP0344,Data Scientist,21,7,3,High,Yes,Satisfied,5,None,Average
EMP0345,Software Engineer,49,15,2,Low,No,Satisfied,4,Daily,Poor
EMP0346,Software Engineer,32,7,4,High,No,Unsatisfied,5,None,Good
EMP0347,Marketing,40,12,1,Medium,Yes,Unsatisfied,3,Daily,Average
EMP0348,Sales,22,10,4,High,Yes,Unsatisfied,3,Weekly,Average
EMP0349,Project Manager,44,9,3,Low,Yes,Neutral,5,Weekly,Good
EMP0350,HR,41,15,1,Medium,Yes,Unsatisfied,4,Weekly,Good
EMP0351,Designer,37,11,1,High,Yes,Unsatisfied,2,Weekly,Average
EMP0352,HR,54,12,3,Medium,No,Neutral,3,None,Average
EMP0353,Software Engineer,31,3,1,Low,No,Satisfied,2,None,Good
EMP0354,Data Scientist,53,13,2,Medium,Yes,Unsatisfied,5,Weekly,Average
EMP0355,Project Manager,23,13,5,Medium,Yes,Satisfied,3,Daily,Average
